%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE trainortest {Test,Train}
@ATTRIBUTE speakernumber {Tim,Rich,Nick,Bill,Sarah,Andrew,Mike,David,Mark,Rose,Jo,Kate,Wendy,Sue,Penny}
@ATTRIBUTE sex {Male,Female}
@ATTRIBUTE feature0 NUMERIC
@ATTRIBUTE feature1 NUMERIC
@ATTRIBUTE feature2 NUMERIC
@ATTRIBUTE feature3 NUMERIC
@ATTRIBUTE feature4 NUMERIC
@ATTRIBUTE feature5 NUMERIC
@ATTRIBUTE feature6 NUMERIC
@ATTRIBUTE feature7 NUMERIC
@ATTRIBUTE feature8 NUMERIC
@ATTRIBUTE feature9 NUMERIC
@ATTRIBUTE class {hAd,hEd,hUd,hOd,hed,hud,hid,hod,hYd,had,hId}

@DATA
Test,Sue,Female,-4057,1925,521,1331,273,-167,-365,-665,-512,716,hId
Train,Kate,Female,-2875,868,-728,1439,355,846,-378,-233,-1072,505,hEd
Test,Mike,Male,-3958,4132,-74,-19,-1184,-11,-679,1198,442,563,hod
Test,Sue,Female,-3862,2109,-65,99,724,641,-293,-519,-1055,653,hUd
Train,David,Male,-3478,1703,-557,2191,-1043,339,-4,587,45,6,hUd
Test,Sue,Female,-3847,4268,-1521,-465,-23,1067,-2,5,-577,-509,hod
Train,Bill,Male,-3963,3938,466,-564,-1042,-64,241,888,-32,798,hod
Test,Rich,Male,-2382,1984,-1096,-103,369,204,-125,752,-136,-959,hAd
Train,Andrew,Male,-3046,387,-1165,94,-386,1978,-186,811,-394,-198,hId
Train,Mark,Male,-2026,175,-526,-131,266,-55,84,63,47,-691,hAd
Train,Penny,Female,-4341,3514,-453,-1047,-469,51,618,801,-399,-777,hod
Test,Tim,Male,-4142,3454,-653,271,-598,793,563,52,-118,-33,hUd
Test,Wendy,Female,-3836,508,645,1721,28,303,-911,-592,-631,1023,hid
Train,Mark,Male,-179,793,-1041,214,215,694,121,583,-403,-487,hEd
Train,David,Male,-941,539,-202,314,-679,1897,28,1504,-632,111,hId
Train,Mark,Male,-3155,1021,455,624,-1306,842,-123,909,328,876,hUd
Train,Kate,Female,-3005,1472,-716,535,-392,54,-54,-686,-29,153,hAd
Train,Jo,Female,-3893,369,79,-151,-1093,-518,198,1583,-257,-169,hod
Test,Nick,Male,-28,2609,-1726,36,-941,1039,191,44,-165,-234,hYd
Test,Nick,Male,-4139,3363,-1464,459,-66,1045,-146,172,-124,-864,hUd
Test,Tim,Male,-2941,71,-855,902,635,924,466,1,-342,-588,hId
Train,Penny,Female,-2521,2271,-277,27,-909,274,348,-28,-1177,432,had
Train,Andrew,Male,-2255,902,-1723,454,-524,1453,-614,761,-885,-118,hEd
Test,Rich,Male,-2969,3128,504,-487,-1371,704,66,676,469,-525,hOd
Test,Sarah,Female,-3012,2252,-806,389,-11,649,-328,321,-559,234,hed
Test,Rich,Male,-2667,1132,-1054,232,537,352,163,55,-688,-295,hEd
Train,Rose,Female,-4468,4121,-42,-1197,338,6,-11,314,-1248,-12,hUd
Train,Jo,Female,-3543,624,674,1413,653,-445,-803,-256,-65,423,hId
Train,David,Male,-2043,195,-435,1341,-1049,558,-237,1237,-283,306,had
Test,Wendy,Female,-4047,913,734,1479,258,206,-1117,-423,-336,982,hid
Train,Penny,Female,-4415,3737,-1313,-815,168,59,975,42,-825,-748,hod
Train,Rose,Female,-2813,2327,-1246,-184,-755,491,1202,-558,-669,54,hYd
Train,Jo,Female,-4222,3886,16,-144,-1132,-53,519,1024,75,-226,hod
Test,Rich,Male,-2973,3557,-396,-719,-669,923,293,1009,14,-1098,hOd
Test,Rich,Male,-3,217,-855,803,-8,1795,-1,107,-61,-1046,hId
Train,David,Male,-2574,1814,-167,1826,-1156,12,-609,1543,11,75,hOd
Train,Mark,Male,-4394,1162,157,608,-409,1352,-243,758,447,96,hud
Test,Rich,Male,-2615,1185,-1162,395,459,345,298,456,-62,-307,hEd
Train,Jo,Female,-3693,-568,727,1236,612,1502,-804,-763,-346,788,hid
Test,Sue,Female,-2902,2796,-1199,234,-821,1257,263,-75,-1103,417,hYd
Train,Jo,Female,-1596,885,-199,199,-115,-474,428,-113,-61,131,hAd
Test,Sarah,Female,-2879,2662,-572,425,-248,213,176,-281,-404,605,had
Train,Jo,Female,-2711,971,-23,53,101,-148,382,476,-105,-256,hed
Test,Nick,Male,-4047,3899,-423,147,-1273,203,317,531,584,-11,hod
Train,Rose,Female,-4125,23,-167,-27,103,32,-467,-254,-415,863,hed
Test,Sarah,Female,-2364,3743,-1393,-361,-354,1004,208,-376,-1046,722,hYd
Test,Nick,Male,-1925,1517,-999,634,-127,207,385,4,-141,-624,hAd
Train,Rose,Female,-5049,4846,-678,-877,-9,5,253,-78,-178,131,hud
Test,Sarah,Female,-3818,3159,-298,-58,-348,194,593,211,531,-14,hUd
Train,Jo,Female,-3162,-1137,3,144,688,1645,-447,-518,-52,641,hid
Test,Sarah,Female,-2026,2433,-411,64,223,-27,-424,-9,-305,345,hAd
Test,Rich,Male,-3896,2768,-816,-14,-125,168,307,1203,246,-118,hUd
Train,Bill,Male,-2351,153,86,-75,-426,125,-197,33,848,-38,had
Train,Penny,Female,-2528,1288,-144,-171,-77,26,-45,681,-1399,-66,hed
Train,Rose,Female,-4426,1167,8,1315,189,-297,-124,-244,-423,684,hEd
Train,Jo,Female,-4314,2322,58,279,702,532,-68,814,-917,-1109,hud
Test,Wendy,Female,-332,1553,-586,1688,-262,392,-478,-461,-522,929,hEd
Train,Kate,Female,-3594,-137,-28,1018,1069,723,695,-982,-1433,249,hid
Train,Bill,Male,-2724,2998,-56,-77,-944,548,-8,4,144,-63,hYd
Test,Nick,Male,-255,2391,-1137,9,-948,217,51,723,-558,-204,had
Train,Penny,Female,-2659,-101,-687,697,1081,1045,-149,184,-927,327,hId
Test,Wendy,Female,-362,1066,158,1393,879,102,-9,87,-1333,585,hId
Train,David,Male,-1674,1711,-104,1136,-869,1036,-157,946,-361,2,hAd
Train,Rose,Female,-3828,2367,-836,-343,-466,116,1172,-175,-275,117,hYd
Test,Sue,Female,-4062,2358,-31,1895,1095,49,-87,-524,-98,-65,hud
Train,Penny,Female,-3984,229,-103,-707,297,317,857,1403,-1253,-298,hUd
Train,Andrew,Male,-2081,105,-1778,411,-518,146,-576,735,-866,-172,hEd
Test,Tim,Male,-2147,1655,-355,-82,-194,296,146,-83,-314,-308,hAd
Train,Rose,Female,-3581,1188,-958,189,-77,451,49,449,-676,919,hAd
Test,Tim,Male,-3407,1821,-675,765,256,469,-9,322,-387,-968,hed
Train,Rose,Female,-382,1705,-113,45,-471,665,298,-175,-473,848,had
Train,Mark,Male,-1933,728,-1015,27,199,78,192,706,-446,-595,hEd
Train,Rose,Female,-4403,1409,551,1496,673,-616,-787,-382,-696,1139,hId
Test,Wendy,Female,-3052,3059,-1668,-208,466,724,-237,-175,-315,411,hYd
Train,Kate,Female,-4188,3229,-456,1077,-1385,-104,459,558,701,-32,hod
Train,Andrew,Male,-2312,1746,-151,1019,-99,941,-488,208,33,-847,hAd
Train,Kate,Female,-2846,243,-78,-153,-905,24,746,14,-114,-746,hYd
Test,Rich,Male,-3676,-185,-563,2377,96,1854,303,296,-358,-1205,hid
Test,Mike,Male,-2696,126,436,657,-1161,805,62,575,182,-334,had
Train,Rose,Female,-3894,291,-968,-671,-131,519,591,708,-1515,121,hOd
Test,Rich,Male,-2444,2529,-487,-814,-151,1285,77,-64,287,-638,had
Test,Sarah,Female,-2814,1515,-88,597,-33,-29,-445,113,-136,662,hEd
Test,Tim,Male,-3285,1547,-897,917,127,402,-11,502,-557,-715,hed
Train,Jo,Female,-4188,2637,502,552,735,395,-26,803,-874,-913,hud
Train,Penny,Female,-3586,-38,-359,1307,1587,99,18,-831,-471,198,hid
Train,Andrew,Male,-3327,496,-694,1365,-265,1933,-363,51,-621,-488,hId
Test,Nick,Male,-373,1872,-801,555,-427,791,196,65,-744,-372,hed
Test,Nick,Male,-4693,3146,-136,587,-731,1055,-104,-21,637,-192,hud
Train,Bill,Male,-4477,246,1087,1108,682,1057,424,-264,-1195,-52,hid
Train,Kate,Female,-3844,1056,-19,1685,617,1245,-811,-506,-1128,76,hId
Test,Nick,Male,-2797,2706,-1936,147,-921,124,-82,-6,-214,-64,hYd
Test,Wendy,Female,-3309,2256,-615,365,251,439,11,119,-1219,695,hed
Test,Wendy,Female,-2904,2741,-1123,14,71,654,212,-454,-815,752,had
Test,Tim,Male,-2733,2026,-71,377,-774,284,-469,693,205,-74,hYd
Test,Sarah,Female,-4471,3192,-161,117,-327,406,-201,919,-716,-933,hud
Train,Kate,Female,-3268,-79,-693,763,1043,1194,892,-1293,-1033,199,hid
Test,Nick,Male,-3756,2204,-716,529,-284,1121,22,127,-782,-394,hed
Test,Wendy,Female,-3239,3083,-1427,-202,-282,1421,576,68,-914,147,hOd
Test,Tim,Male,-3008,2882,-9,214,-565,-197,449,305,413,-3,hOd
Test,Mike,Male,-2613,-92,-54,484,389,1741,198,257,-375,-604,hId
Train,Andrew,Male,-2911,1928,-1131,899,-911,1111,-208,-47,-29,-539,hYd
Test,Nick,Male,-2823,2743,-2012,234,-919,1103,91,-177,-143,-9,hYd
Train,Bill,Male,-2748,3217,-976,-213,-792,771,-32,223,43,-825,hYd
Test,Wendy,Female,-3018,3014,-1486,-105,-131,929,226,-463,-555,598,hYd
Test,Tim,Male,-2639,188,-389,204,-571,94,-233,279,426,-598,hYd
Test,Nick,Male,-3731,1927,-705,453,-372,1149,46,323,-627,-331,hed
Train,Andrew,Male,-2946,1649,-1167,788,-909,13,-562,902,-7,-842,hed
Train,Andrew,Male,-2299,1848,-1695,1065,-861,1047,-607,313,-253,-759,hAd
Test,Tim,Male,-2377,-266,-1371,109,24,1843,107,702,-1256,-62,hid
Test,Mike,Male,-3992,3342,167,86,-123,-216,-824,837,521,978,hod
Train,Mark,Male,-1764,888,-1001,197,3,66,159,557,-301,-65,hEd
Test,Sarah,Female,-3379,95,-6,147,538,51,-681,-98,-405,912,hId
Test,Wendy,Female,-3432,2235,-753,361,435,425,-193,12,-1166,794,hed
Train,Penny,Female,-2415,2517,-285,85,-902,283,302,247,-1207,371,had
Train,Bill,Male,-1952,1469,-1375,105,-154,17,-47,336,-98,-41,hAd
Train,Bill,Male,-416,3329,275,394,-1287,693,483,121,286,153,hUd
Test,Mike,Male,-189,207,-1161,27,-47,1581,277,1129,366,-25,hId
Test,Nick,Male,-3485,1092,-674,1395,-27,1039,-47,384,-761,-934,hId
Train,David,Male,-1215,-288,-2423,834,-379,2266,503,1337,-136,-682,hid
Test,Rich,Male,-245,1993,-108,-9,367,324,-164,684,-181,-1013,hAd
Test,Sarah,Female,-3415,-538,241,2038,622,1027,-701,-66,-418,781,hid
Train,Penny,Female,-2729,2104,-505,138,-533,455,148,-407,-1059,625,had
Train,Rose,Female,-3622,1111,-972,399,-402,527,271,373,-716,943,hAd
Test,Rich,Male,-3878,3816,-155,-668,-1207,541,22,1972,-29,-29,hod
Train,David,Male,-1768,786,-1468,1077,-347,1704,-171,1076,-691,-6,hEd
Train,Penny,Female,-1985,2161,-601,424,-295,-489,208,-216,-562,79,hAd
Test,Sue,Female,-3857,2133,-58,996,502,65,-283,-468,-983,613,hUd
Train,Kate,Female,-3012,1628,-834,975,-299,926,174,836,-239,-1144,hed
Train,Rose,Female,-4181,1646,736,1286,724,-511,-1126,-45,-648,995,hId
Test,Nick,Male,-3239,2916,-1406,-455,-454,1219,78,383,-776,-413,hOd
Test,Rich,Male,-3644,-215,-579,2307,46,1945,28,272,-539,-1226,hid
Test,Rich,Male,-2482,1896,-1289,112,285,96,22,832,-333,-764,hAd
Test,Mike,Male,-2677,486,-61,517,222,1102,-425,-96,-373,-484,hEd
Train,Jo,Female,-3118,356,377,1447,868,407,-915,-546,-637,169,hId
Test,Mike,Male,-3824,1832,1093,1024,-109,56,-336,299,126,1005,hUd
Train,Mark,Male,-3062,1008,935,1443,-579,68,-1333,106,958,979,hOd
Test,Sarah,Female,-2919,348,-823,-751,-416,1045,609,18,-1172,123,hOd
Test,Sarah,Female,-3699,-251,268,1585,85,1381,-867,-71,-19,567,hid
Train,Mark,Male,-3482,1127,899,1993,-1385,-5,-1273,647,844,1044,hod
Test,Sue,Female,-357,341,-1576,563,2,759,285,-466,-1409,586,hOd
Train,Bill,Male,-4314,-106,1044,1192,687,763,158,-193,-1342,-447,hid
Train,Kate,Female,-2515,134,-84,511,-492,98,47,-68,-283,168,hAd
Test,Nick,Male,-3725,1904,-737,433,-369,1047,12,425,-678,-391,hed
Train,Mark,Male,-3565,1363,958,1976,-1268,91,-1363,72,738,1145,hod
Train,Kate,Female,-3858,115,5,117,975,703,585,-1191,-1172,-76,hid
Train,Andrew,Male,-254,2144,-1024,933,-1567,1024,188,-47,309,-633,hYd
Test,Wendy,Female,-2584,2091,-1451,889,-464,285,-213,-245,-138,1206,hAd
Train,Rose,Female,-3961,1078,11,1232,21,-67,-536,-33,-268,1098,hEd
Train,Rose,Female,-4497,45,-1446,-1127,443,986,136,597,-1087,-73,hod
Train,Mark,Male,-203,1764,-386,-249,18,117,96,-121,67,-552,hAd
Train,Penny,Female,-2452,279,-805,1141,239,176,-104,-752,-334,731,hEd
Test,Wendy,Female,-2918,2897,-1069,-77,-261,55,317,-322,-776,79,had
Test,Nick,Male,-1951,1684,-1039,586,-1166,345,33,-108,-198,-609,hAd
Train,Penny,Female,-502,2551,562,-136,531,-64,373,631,-1407,-267,hud
Train,Kate,Female,-3426,584,-469,1776,566,1686,7,81,-1483,-141,hId
Test,Mike,Male,-2769,2906,-194,349,-958,89,-245,1004,6,-336,hYd
Train,Kate,Female,-3124,2733,-857,-334,-312,587,849,475,-174,-899,hOd
Train,Mark,Male,-1953,-596,-1543,619,56,1742,592,1289,-163,-523,hid
Test,Mike,Male,-4717,829,853,198,-546,688,-434,-424,-636,1245,hud
Train,Jo,Female,-2837,528,241,1629,23,-545,-643,-231,-186,45,hEd
Test,Sue,Female,-399,2008,503,845,774,-114,-641,-282,-734,877,hId
Train,Kate,Female,-3246,2796,-867,-205,-316,808,824,62,-118,-749,hOd
Test,Sarah,Female,-1959,2285,-89,-262,-13,19,-233,-68,-268,-22,hAd
Train,Andrew,Male,-3648,1812,-1378,1578,65,1577,-466,702,6,-836,hud
Test,Nick,Male,-3055,88,-1217,1562,186,2059,54,639,-1121,-757,hid
Test,Nick,Male,-1895,755,-1388,638,-614,246,-33,693,-27,-346,hEd
Test,Sarah,Female,-2577,2449,-38,174,-41,383,19,97,-489,-84,had
Test,Tim,Male,-4457,1512,-514,1764,63,186,-332,189,-521,-415,hud
Test,Wendy,Female,-2938,2782,-1111,-76,0,582,252,-4,-773,838,had
Train,Penny,Female,-3208,-608,-516,1098,1529,1069,186,-947,-248,-59,hid
Train,Bill,Male,-452,2231,-88,513,-528,1246,198,242,161,769,hud
Train,Jo,Female,-3034,-1274,263,1521,66,1622,-361,-468,-74,517,hid
Test,Sue,Female,-2965,1124,-349,1581,-666,125,-25,-887,-13,111,hEd
Train,Bill,Male,-3065,3139,-461,-221,-759,-45,68,274,999,-331,hOd
Test,Mike,Male,-4982,1538,96,1253,-64,588,-484,-31,-246,118,hud
Train,Jo,Female,-2986,2072,-311,-83,-878,449,916,82,-905,-109,hYd
Train,David,Male,-1417,-319,-2254,1072,-221,2268,43,923,-1486,-698,hid
Train,David,Male,-1501,847,-1619,92,-488,1616,-161,1127,-613,-51,hEd
Test,Rich,Male,-4611,2962,-856,1161,-612,469,162,705,37,-916,hud
Test,Sarah,Female,-4513,308,68,5,-484,341,-257,1302,-517,-1057,hud
Test,Nick,Male,-2561,2191,-955,214,-841,386,-83,74,-612,-196,had
Train,Mark,Male,-2475,1498,864,397,-117,-234,-388,825,16,57,hYd
Train,Jo,Female,-3253,1025,-286,713,-36,539,476,-116,-945,-108,had
Train,Andrew,Male,-3673,1811,-1405,1621,44,1572,-453,745,-66,-733,hud
Test,Tim,Male,-2463,-197,-1264,115,234,1833,66,738,-1382,-498,hid
Train,Kate,Female,-4694,3229,-1153,702,452,298,454,1,-264,-1399,hud
Test,Sue,Female,-4001,2284,-365,2106,1006,-28,-825,-39,-898,99,hud
Train,Mark,Male,-2531,1802,739,236,-1169,-69,-349,903,123,-119,hYd
Test,Sue,Female,-3053,1518,-729,828,-1211,499,326,-136,-263,75,hAd
Train,Penny,Female,-4687,406,889,1464,1618,1021,-121,-398,-307,293,hid
Test,Sarah,Female,-3376,3327,-797,-849,-681,1198,838,244,-298,-618,hod
Test,Nick,Male,-4174,354,-143,417,267,918,-118,-267,-162,-71,hUd
Test,Mike,Male,-292,2697,-116,451,-859,-35,-307,874,622,-301,hYd
Test,Mike,Male,-2764,1111,727,154,-855,261,-111,227,42,991,hOd
Train,Kate,Female,-3091,935,-574,136,416,764,-48,-144,-1295,696,hEd
Test,Wendy,Female,-2871,313,-13,8,-288,483,258,-342,-614,83,had
Train,Mark,Male,-3198,1373,392,423,-1203,656,-428,994,576,865,hUd
Train,Mark,Male,-1823,-578,-1624,52,52,1711,535,1318,-115,-505,hid
Test,Nick,Male,-3019,58,-1265,1497,171,1997,178,847,-116,-548,hid
Train,Penny,Female,-4417,3765,-1225,-853,41,536,885,533,-757,-789,hod
Test,Rich,Male,-27,2686,-43,-528,-626,917,167,652,1,-937,hYd
Train,Andrew,Male,-2135,954,-1632,121,-704,16,-628,713,-903,-27,hEd
Train,Andrew,Male,-4074,2281,152,1556,-1613,-47,222,252,775,125,hod
Test,Nick,Male,-4782,3325,-71,663,-913,1012,-33,-103,483,-202,hud
Test,Sarah,Female,-2776,3557,-435,-1044,-572,1273,221,295,-986,-4,hOd
Train,Bill,Male,-4473,373,858,919,778,1272,653,-216,-891,-627,hid
Train,Mark,Male,-3179,1346,988,132,-852,-8,-1234,347,102,771,hOd
Train,David,Male,-4373,2463,-171,1501,-639,292,518,-114,1127,332,hud
Train,Andrew,Male,-3653,373,-6,1705,-222,1765,-353,537,-797,-813,hid
Test,Tim,Male,-2382,-294,-1397,1051,211,1901,151,654,-1286,-609,hid
Test,Sue,Female,-3446,244,-37,926,194,141,-98,-557,-889,985,hed
Test,Sarah,Female,-2702,3596,-57,-1041,-709,1009,403,426,-1013,-9,hOd
Train,Penny,Female,-4403,3602,-945,-934,41,409,1003,47,-477,-621,hod
Train,Jo,Female,-2681,531,252,1239,469,-339,-652,-417,-246,412,hEd
Test,Rich,Male,-4083,2315,-375,52,-19,-211,-172,1054,387,168,hUd
Train,David,Male,-1393,-305,-229,11,-254,2327,363,795,-1521,-756,hid
Test,Mike,Male,-1768,1769,-1142,-739,-86,12,-23,217,-9,-279,hAd
Train,David,Male,-2624,1653,-156,2023,-1052,86,-752,1341,196,71,hOd
Train,Jo,Female,-1577,907,-291,7,-256,-233,187,-52,-627,238,hAd
Train,Mark,Male,-3193,2026,83,813,-1205,36,-95,786,1045,21,hOd
Test,Wendy,Female,-3059,2895,-847,-364,-484,1025,502,506,-733,78,hOd
Test,Nick,Male,-4049,4039,-558,64,-1676,1024,47,1024,-91,-283,hod
Train,Kate,Female,-4228,3111,-38,116,-1188,-362,516,507,669,-74,hod
Train,David,Male,-2607,2406,-88,1586,-1477,164,-527,1551,33,522,hOd
Test,Tim,Male,-3338,3033,-1189,-269,-364,544,491,148,365,-931,hOd
Test,Nick,Male,-413,3105,-1141,183,-498,1324,-399,675,-339,-694,hUd
Test,Sue,Female,-3554,3386,-1703,555,-72,1073,237,-625,-1067,-176,hOd
Test,Mike,Male,-2592,1617,267,38,-777,487,-206,733,592,-403,had
Train,Bill,Male,-4161,2937,157,336,-968,641,88,237,565,823,hUd
Train,Kate,Female,-3354,285,-887,1,-551,293,901,32,-302,-1023,hOd
Train,Mark,Male,-3169,1041,509,693,-1185,673,-352,877,434,1009,hUd
Train,Rose,Female,-5105,1968,114,1719,-443,-432,-969,-173,551,176,hid
Test,Mike,Male,-1093,-922,-2091,844,9,1247,891,1453,-89,-4,hid
Train,Penny,Female,-42,2201,-31,-392,968,7,-328,129,-896,15,hUd
Test,Mike,Male,-1817,559,-801,234,11,1215,-161,809,18,-382,hEd
Test,Tim,Male,-2207,109,-627,24,912,662,241,348,-702,-912,hEd
Test,Nick,Male,-4718,3281,-203,651,-883,1413,-663,583,237,-307,hud
Test,Sarah,Female,-2489,2401,-44,-367,-69,533,11,118,-621,-188,had
Train,Mark,Male,-2076,1413,-584,19,-35,518,-406,313,27,-724,hAd
Test,Sarah,Female,-1948,2143,-68,-211,-238,263,-27,-238,-342,147,hAd
Test,Tim,Male,-3242,1802,-482,699,424,337,115,272,-205,-1074,hed
